nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm1961475	Enrique Jarnes	\N	\N	writer	tt0823900,tt0465791,tt0447779,tt0072162
nm1962717	Kassey Krystal	1985	\N	actress	tt1070358,tt6388080,tt1354016,tt4203508
nm1983546	Olga Castillo	\N	\N	actress	tt1664317,tt0487824,tt0823900,tt0397781
nm1995246	Géraldine Nakache	1980	\N	actress,director,writer	tt3624624,tt3098306,tt2094898,tt1587877
nm2001886	Anna D'Lira	\N	\N	actress	tt0300815
nm2002034	David Feherty	1958	\N	writer	tt1962630,tt0863919,tt0247144,tt0247082
nm2002507	John Caparulo	1975	\N	actor,writer,producer	tt1342883,tt7827042,tt3135230,tt1002838
nm2010690	Ikurô Satô	\N	\N	director,miscellaneous,art_department	tt0138919,tt0213338,tt0280240,tt1355642
nm2012044	Christine Heinlein	\N	\N	writer,director	tt7076016,tt0474968,tt6548442,tt6200952
nm2014634	Heather Nauert	1970	\N	actress	tt0168310,tt0476038,tt0285331,tt0072506
nm2015557	Patrick Joseph Connolly	\N	\N	actor	tt1362205,tt0141842,tt0403057,tt1331087
nm2039904	Masatoshi Katô	\N	\N	producer	tt1600463,tt0292765,tt3487636,tt1392158
nm2042690	Lisa Lillien	\N	\N	actress,miscellaneous,writer	tt0363328,tt0415463,tt3596174,tt2487090
nm2051163	Marc Villanueva	\N	\N	actor	tt3243774,tt0483345,tt0460659,tt1081539
nm2070463	Jantien van der Meer	\N	\N	writer	tt3355982,tt0096597,tt0115189
nm2073826	Matthias Klein	\N	\N	composer,music_department	tt4494230,tt1398029,tt1159705,tt1512102
nm2076506	Eliezer Ortiz	\N	\N	actor,stunts	tt2035630,tt1546360,tt2408488,tt2290829
nm2080328	Kelsey Asbille	1991	\N	actress	tt0368530,tt5362988,tt1567432,tt0948470
nm2086949	Yong Jang	1945	\N	actor	tt0940631,tt3541312,tt3147968,tt0464625
nm2124035	Oliver Camargo	\N	\N	composer,soundtrack	tt4078708,tt1228573,tt0459721,tt0841921
nm2130237	Andreas Jancke	1978	\N	actor	tt1328943,tt3026214,tt0108979,tt1736093
nm2151167	Yves Scagliola	\N	\N	editor,director,writer	tt1318592,tt0810422,tt0498993,tt0499090
nm2154335	Megyn Kelly	1970	\N	producer,writer	tt6942572,tt0081857,tt6233054,tt1739296
nm2154960	Amy Schumer	1981	\N	writer,actress,producer	tt1307068,tt2578508,tt3152624,tt2334871
nm2160719	Michael Spindler	\N	\N	cinematographer,art_director,producer	tt0810422,tt4714456,tt1120944,tt0498993
nm2180091	Steve Byrne	1974	\N	actor,writer,producer	tt0369436,tt1078940,tt2073664,tt3414960
nm2185565	Aaron Brenner	\N	\N	editor,producer,miscellaneous	tt5630396,tt0401792,tt4871002,tt2733512
nm2187531	Mary McAnally	1945	2016	editor,producer	tt0266197,tt1578651,tt0165326,tt1219840
nm2197927	Aol Rivera	\N	\N	miscellaneous,writer	tt1729621,tt0856147,tt0479336,tt1438482
nm2201640	Muga Tsukaji	1971	\N	actor	tt3775202,tt1279943,tt0777932,tt1478965
nm2209821	Danny Pudi	1979	\N	actor,soundtrack,producer	tt1439629,tt1545660,tt1843866,tt2660888
nm2212852	Gustavo Zerbino	1953	\N		tt0787999,tt1157720,tt0486531,tt0206544
nm2215055	Roberto Canessa	1953	\N		tt1157720,tt0383787,tt0486531,tt0120919
nm2218143	French Horwitz	\N	\N	producer,writer,director	tt1244646,tt0959417,tt1257809,tt0783863
nm2258148	Vibha Bakshi	1970	\N	director,producer,writer	tt2238612,tt1991197,tt3437608,tt2238614
nm2264619	Ayen del Carmen	\N	\N	editor,editorial_department	tt1900704,tt1900358,tt1732319,tt1900577
nm2280346	Carl Amoscato	\N	\N	editor,editorial_department	tt1102795,tt4040780,tt5907474,tt0472970
nm2282015	Tamar Lewinsky	\N	\N	writer	tt0810422
nm2287168	Dan Gregor	\N	\N	writer,producer,actor	tt2980734,tt0460649,tt4094300,tt6566830
nm2299292	Soon-jae Lee	\N	\N	actor	tt1862020,tt6508608,tt1690398,tt2375282
nm2303368	Toi Troutman-Walker	\N	\N	actress,miscellaneous,casting_department	tt0117891,tt2010510,tt1533798,tt1204285
nm2303813	Nadine Jolie Courtney	\N	\N		tt0171925,tt0294140,tt2010510,tt0380086
nm2309631	Andre Collins	1968	\N		tt0896893,tt0407423,tt0065323,tt1136193
nm2320089	Amelia Roman	\N	\N	actress	tt0823900,tt1165095,tt1165122,tt0076153
nm2323570	Rodjun Cruz	\N	\N	actor,soundtrack	tt5822920,tt0893525,tt1691237,tt2680024
nm2325620	Chuck Todd	1972	\N	actor,executive	tt1856010,tt2266639,tt0080270,tt0231035
nm2332109	Trent Dilfer	1972	\N		tt0407424,tt0407423,tt1136193,tt0065323
nm2344506	Williams Biondo	\N	\N	composer	tt0959417,tt1002578,tt0862565,tt1417056
nm2347668	Jeff Shear	\N	\N	writer,editor,producer	tt0146386,tt0959417,tt1002063,tt1633972
nm2349538	Jeff Bostic	1958	\N		tt0065323,tt0407424,tt0407423,tt1136193
nm2349746	Robert Palfrader	1968	\N	actor,writer,director	tt3648578,tt1296328,tt1934564
nm2349933	Hella Jorritsma	\N	\N	writer	tt0300848,tt0096597,tt3355982,tt0115189
nm2350022	Cagkan Culha	1985	\N	actor	tt0426708,tt1173930,tt1428614,tt7286962
nm2355566	Jim Harbaugh	1963	\N	actor	tt0105932,tt0407424,tt0106123,tt1136193
nm2357441	Xawery Dunikowski	\N	\N		tt0175761
nm2360957	Elisabet Carnicé	1981	\N	writer	tt0462143,tt0847540,tt0907693,tt1517109
nm2362585	Nicolás Chausovsky	\N	\N	producer	tt0847160,tt1492009,tt4421478,tt7161776
nm2374712	Maria Casado	1978	\N	actress,soundtrack	tt0429293,tt0472641,tt1164999,tt0371487
nm2381309	Ann Goetz	\N	\N	editor	tt1002578,tt1041883,tt3278772,tt1547508
nm2384401	Bryan Harvey	\N	\N	cinematographer,camera_department,producer	tt1315027,tt0959417,tt0877546,tt0924555
nm2397500	Nolan Cooper	1982	\N	editor,editorial_department,actor	tt0971928,tt0497294,tt4108890,tt0960868
nm2419128	Rena Strober	\N	\N	actress,music_department,soundtrack	tt1759761,tt2794380,tt0960140,tt1586680
nm2423639	Paco Montesdeoca	1946	\N	actor	tt0371487,tt0368534,tt0244347,tt0498888
nm2424290	José Antonio Maldonado	1944	\N	actor	tt0922345,tt2468822,tt0371487,tt0922632
nm2432719	Alican Yücesoy	1982	\N	actor	tt0984129,tt1297374,tt2543258,tt0845537
nm2437361	Jin-Woong Cho	1976	\N	actor	tt3501416,tt2082221,tt3697626,tt4016934
nm2440242	Kim Uylenbroek	\N	\N	actor	tt1304598,tt0460791
nm2449425	Marc Sylvan	\N	\N	composer,music_department,soundtrack	tt7313410,tt1273620,tt7316998,tt1294955
nm2456292	Ae-ra Shin	1969	\N	actress	tt5478804,tt0902250,tt1183174,tt5699442
nm2460793	Benjamin Tritle	1972	\N	miscellaneous,producer,actor	tt0284787,tt1068587,tt1536749,tt2112923
nm2462923	Kay Conlu-Brondial	\N	\N	writer,miscellaneous,actress	tt0327472,tt1827830,tt0839969,tt2269348
